Company name,Date of Initial Order,Monitor,Representative,Phone Number,URL
"Boreal Capital Partners Ltd. JRB-331 Sheddon Holdings Ltd., 2123068 Ontario Limited, JRB-109 Reynolds Holdings Ltd., JRB-339 Church Holdings Ltd., JRB-147 Church Holdings Ltd.",2021-11-25,ERNST & YOUNG INC.,"MORRISON, ALEXANDER",416-941-7743,http://www.ey.com/ca/boreal
"Otso Gold Corp., Otso Gold OY, Otso Gold AB, 2273265 Alberta Ltd.",2021-12-03,Deloitte Restructuring INC.,"Mckie, Melinda",604-640-3253,https://www.insolvencies.deloitte.ca/en-ca/pages/OtsoGoldCorp.aspx
Harte Gold Corp.,2021-12-07,FTI Consulting Canada Inc.,Meakin Nigel,416-649-8065,http://cfcanada.fticonsulting.com/
Kaisen Energy Corp.,2021-12-08,ERNST & YOUNG INC.,"Narfason, Neil",403-206-5067,http://www.ey.com/ca/kaisenenergy
"Blackrock Metals Inc., Blackrock Mining Inc., BRM Metals GP Inc. and Blackrock Metals LP",2021-12-23,DELOITTE RESTRUCTURINGINC/RESTRUCTURATION DELOITTE INC,"CLOUÂTRE, BENOÎT",514-393-5391,http://www.insolvencies.deloitte.ca/blackrockmetals
"Rising Phoenix International Inc., 10864285 Canada Inc. (M College of Canada), 11753436 Canada Inc., CDSQ Immobilier Inc., Collège de L’éstrie Inc., École D’administration et de Secrétariat de la Rive Sud Inc., 9437-6845 Québec Inc., 9437-6852 Québec Inc.",2022-01-06,Richter Advisory Group Inc.,Oliver Benchaya,514-934-8618,https://www.richter.ca/insolvencycase/rising-phoenix-international-inc/
Trinity Ravine Community Inc.,2022-02-23,Deloitte Restructuring Inc.,Toni Vanderlaan,416-354-0501,http://www.insolvencies.deloitte.ca/en-ca/trinityravine
"Canada Fluorspar (NL) Inc., Canada Fluorspar Inc. and Newspar (a General Partnership)",2022-03-11,Grant Thornton Limited,Phil Clarke,902-420-7191,http://www.GrantThornton.ca/CFI
"Eve & Co Incorporated, Natural Medco Ltd. and Eve and Co International Holdings Ltd.",2022-03-25,BDO Canada Limited,Stephen Cherniak,519-660-2666,http://www.bdo.ca/
"ALDERBRIDGE WAY LIMITED PARTNERSHIP, ALDERBRIDGE WAY GP LTD. AND 0989705 B.C. LTD.",2022-04-01,The Bowra Group Inc.,Mario Mainella,604-689-8939,http://www.bowragroup.com/client/atmosphere/
Hazelton Development Corporation,2022-04-20,Grant Thornton Limited,Dan Wootton,416-360-3063,www.GrantThornton.ca/Hazelton
Choom Holdings Inc. Choom BC Retail Holdings Inc; 2151414 Alberta Ltd.; 2688412 Ontario Inc.; Phivida Holdings Ltd,2022-04-22,Ernst & Young Inc.,Philippe Mendelson,604-891-8491,http://www.ey.com/ca/Choom
Freshlocal Solutions Inc. Sustainable Produce Urban Delivery Inc. 569672 BC Limited Organics Express Inc. Mainland Fresh Distribution Inc. Food-X Urban Delivery Inc. Food-X Technologies Inc. Food-X Technologies GP Inc. Food-X Technologies (eGMS) Inc. Be Fresh (AB) Inc. Blush Lane Organic Produce Ltd. FoodX Technologies SA Food-X Technologies Limited Partnership,2022-05-16,Ernst & Young Inc.,Philippe Mendelson,604-891-8491,http://www.ey.com/ca/freshlocal
"MJardin Group, Inc., Growforce Holdings Inc., 8586985 Canada Corporation, and Highgrade MMJ Corporation",2022-05-17,KSV Restructuring Inc.,Noah Goldstein,416-932-6207,https://www.ksvadvisory.com/experience/case/mjardin-groupinc
Roman Catholic Episcopal Corporation of St. John,2022-05-17,Ernst & Young Inc.,"KINSMAN, GEORGE  (",902) 421-6282,http://www.ey.com/ca/rcecsj
Canadian Dehua International Mines Group Inc.,2022-06-03,FTI Consulting Canada Inc.,"Munro, Craig",403-232-6270,http://cfcanada.fticonsulting.com/CanadianDehuaInternational
"ZENABIS GLOBAL INC., ZGI ACQUISITION CORP., ZENABIS INVESTMENTS LTD., ZENABIS REAL ESTATE HOLDINGS LTD., ZENABIS ANNACIS LTD., ZENABIS ATHOLVILLE LTD., ZENABIS STELLARTON LTD., ZENABIS HOUSING LTD., ZENABIS IP HOLDINGS LTD., ZENABIS RETAIL HOLDINGS LTD., ZENABIS VENTURES INC., ZENABIS OPERATIONS LTD., ZENABIS LTD., VIDA CANNABIS (CANADA) LTD., ZENABIS HEMP COMPANY LTD., ZEN CRAFT GROW LTD.",2022-06-17,Ernst & Young Inc.,Eric St-Amour,514-879-8224,www.ey.com/ca/zenabis
Sproutly Inc. and Toronto Herbal Remedies Inc.,2022-06-24,BDO Canada Limited,Clark Lonergan,647-730-0934,https://www.bdo.ca/en-ca/extranets/SI-and-toronto-herbal-remedies/
Intelivote Systems Inc.,2022-07-14,Grant Thornton Limited,"MacNeil, Sean Craig",902-453-6600,www.grantthornton.ca/Intelivote
"MPX International Corporation, BioCannabis Products Ltd., Canveda Inc., The CinG-X Corporation, Spartan Wellness Corporation, MPXI Alberta Corporation, MCLN Inc., and Salus BioPharma Corporation",2022-07-25,KSV Restructuring Inc.,Noah Goldstein,416-932-6207,https://www.ksvadvisory.com/insolvency-cases/case/MPXI
Speakeasy Cannabis Club Ltd.,2022-07-27,Crowe MacKay & Company Ltd.,Lai. Derek,604-689-3928,https://www.crowemackayco.ca/engagements/recent-engagements
"NORTH AMERICAN LAMB COMPANY LTD. , CANADA SHEEP AND LAMB FARMS LTD., CANADA SHEEP HOLDINGS LTD., LAMB CLUB MARKETING LIMITED., CANADA LAMB GROWERS LTD., CANADA LAMB PROCESSORS LTD., AND CANINE FARE LTD.",2022-08-08,Ernst & Young Inc.,Neil Narfason  (,403) 206-5067,www.ey.com/ca/NALCO
9298-9524 Québec Inc. ET Relance D.P. Inc.,2022-08-17,MALLETTE SYNDICS ET GESTIONNAIRES INC.,Eric Pronovost,418-653-4431,https://syndics.mallette.ca/dossier-public/relance-d-p-inc/
Medipure Pharmaceuticals Inc. and Medipure Holdings Inc.,2022-08-19,Deloitte Restructuring Inc.,Jeff Keeble,604-235-4197,https://www.insolvencies.deloitte.ca/en-ca/Pages/Medipure
Trevali Mining Corporation and Trevali Mining (New Brunswick) Ltd.,2022-08-19,FTI Consulting Canada Inc.,Tom Powell,604-551-9881,cfcanada.fticonsulting.com/Trevali
"Superette Inc, Superette Ontario Inc, 2659198 Ontario Inc., 2662133 Ontario Inc., 2662134 Ontario Inc. and 2662135 Ontario Inc.",2022-08-30,PRICEWATERHOUSECOOPERS INC.,"MCTAGGART, MICHAEL",416-687-8924,https://www.pwc.com/ca/superette
"ENDOCEUTICS INC., ENDOCEUTICS PHARMA (MSH) INC., ENDOCEUTICS PHARMA (QUÉBEC) INC. ENDOCEUTICS PHARMA (USA) INC. ENDOCEUTICS SA",2022-09-26,ERNST & YOUNG INC.,Martin P. Rosenthal,514-879-6549,cfcanada.fticonsulting.com/Trevali
SUGARBUD CRAFT GROWERS CORP.,2022-09-29,ALVAREZ & MARSAL CANADA INC.,Orest Konowalchuk,403-538-4736,https://www.alvarezandmarsal.com/sugarbud
Xebec Adsorption Inc.,2022-09-29,Deloitte Restructuring Inc.,"NADON, JEAN-FRANÇOIS",514-390-0959,https://www.insolvencies.deloitte.ca/en-ca/pages/Xebec.aspx
Great Panther Mining Limited,2022-10-04,ALVAREZ & MARSAL CANADA INC.,"TILLMAN, ANTHONY JOSEPH",604-639-0849,https://www.alvarezandmarsal.com/GPR
"Edward Collins Contracting Ltd., Classic Security Ltd., FGC Holdings Ltd., H & E Designs Ltd., and 51037 Newfoundland & Labrador Inc.",2022-10-05,GRANT THORNTON LIMITED,"CLARKE, PAUL PHILIP",902-420-7191,http://www.grantthornton.ca/ECC
"Flower One Holdings Inc., FO Labour Management Ltd. & Flower One Corp.",2022-10-17,PRICEWATERHOUSECOOPERS INC.,Michelle Grant,604-806-7184,http://www.pwc.com/ca/FONE
Flowr Corporation,2022-10-20,ERNST & YOUNG INC.,"MORRISON, ALEXANDER",416-941-7743,https://documentcentre.ey.com/#/detail-engmt?eid=506
Pure Gold Mining Inc.,2022-10-31,KSV Restructuring Inc.,Bobby David Kofman,416-932-6228,https://www.ksvadvisory.com/experience/case/pure-gold-
CANNAPIECE GROUP INC.,2022-11-03,BDO Canada Limited,Clark Lonergan,416-865-0210,https://www.bdo.ca/en-ca/extranets/cannapiece
Trichome Financial Corp.; Trichome JWC Acquisition Corp.; MYM Nutraceuticals Inc.; Trichome Retail Corp.; MYM International Brands Inc. and Highland Grow Inc.,2022-11-07,KSV RESTRUCTURING INC.,"GOLDSTEIN, NOAH",416-932-6207,https://www.ksvadvisory.com/experience/case/trichome
Groupe Selection Inc. et al.,2022-11-21,"PricewaterhouseCoopers Inc., SAI",Christian Bourque,514-865-0002,www.pwc.com/ca/groupeselection
Springer Aerospace Holdings Limited And 1138969 Ontario Inc.,2022-11-23,MNP Ltd.,Sheldon Title,416-263-6945,https://mnpdebt.ca/en/corporate/corporat e-engagements/springeraerospace/
Lightbox Enterprises Ltd,2022-11-24,Ernst & Young Inc.,Michael Bell,604-899-3566,https://www.ey.com/ca/lightbox
"Manitoba Clinic Medical Corp, and The Manitoba Clinic Holding Co. Ltd.",2022-11-30,Alvarez & Marsal Canada Inc.,Orest Konowalchuk,403-538-7555,https://www.alvarezandmarsal.com/manitobaclinic
iS5 Communications Inc.,2022-12-01,Grant Thornton Limited,Dan Wootton,416-360-3063,https://www.grantthornton.ca/iS5
"Midnight Integrated Financial Inc., Tower Adventures Ltd., Booker Adventure Corp., and Comstock Adventure Corp.",2022-12-05,ERNST & YOUNG INC.,Matt McCulloch,780-638-6642,https://documentcentre.ey.com/#/detail-engmt?eid=509
DCL Corporation,2022-12-20,ALVAREZ & MARSAL CANADA INC.,"NEVSKY, JOSHUA BRETT",416-847-5161,https://www.alvarezandmarsal.com/DCLCanada
LABORATOIRES BODYCAD INC.,2022-12-22,RAYMOND CHABOT INC.,"FONTAINE, BENOIT",514-390-4195,https://www.raymondchabot.com/fr/entreprises/dossiers-publics/laboratoires-bodycad-inc/
"Inscape Corporation, Inscape Inc., and Inscape (New York) Inc.",2023-01-12,ALVAREZ & MARSAL CANADA INC.,"NEVSKY, JOSHUA BRETT",416-847-5161,https://www.alvarezandmarsal.com/InscapeCorporation
Les Investissements de l'Estrie inc. et al.,2023-01-20,RAYMOND CHABOT INC.,Emmanuel Phaneuf,514-393-4826,https://www.raymondchabot.com/fr/entreprises/dossiers-publics/les-investissements-de-lestrie-inc-et-al/
Tehama Inc.,2023-01-20,Deloitte Restructuring Inc.,Phil Reynolds,647-620-2996,https://www.insolvencies.deloitte.ca/en-ca/pages/Tehama-Inc.aspx
Acerus Pharmaceuticals Corporation,2023-01-26,Ernst & Young Inc.,Alex Morrison,416-941-7743,https://www.ey.com/ca/acerus
ORIGINAL TRADERS ENERGY LTD.,2023-01-30,KPMG INC.,"FORBES, KATHERINE",416-777-8107,http://home.kpmg/ca/OTEGroup
"Forex Inc., Forex Amos Inc., Wawa OSB Inc.",2023-02-07,PRICEWATERHOUSECOOPERS INC.,"FILIPPONE, CLAUDIO",514-205-5000,https://www.pwc.com/ca/forex
BBB Canada Ltd.,2023-02-10,Alvarez & Marsal Canada Inc.,Alan John Hutchens,416-847-5159,https://www.alvarezandmarsal.com/BBBCanada
Polar Holding Ltd.,2023-02-10,BDO CANADA LIMITED / BDO CANADA LIMITÉE,Brent Warga,204-956-7200,https://www.bdo.ca/services/financial-advisory-services/business-restructuring-turnaround-services/current-engagements/AccurateGroup
Rambler Metals and Mining Canada and 1948565 Ontario Inc.,2023-02-27,GRANT THORNTON LIMITED,"CLARKE, PAUL PHILIP",902-421-1734,https://www.grantthornton.ca/Rambler
"Nordstrom Canada Retail, Inc., Nordstrom Canada Holdings, LLC, Nordstrom Canada Holdings II, LLC, Nordstrom Canada Leasing LP",2023-03-02,Alvarez & Marsal Canada Inc.,Alan John Hutchens,416-847-5159,https://www.alvarezandmarsal.com/NordstromCanada
CanWest Aerospace Inc. and Can West Global Airparts Inc.,2023-03-08,FTI CONSULTING CANADA INC.,"MUNRO, CRAIG ANDREW",877-876-7756,http://cfcanada.fticonsulting.com/CWA/
"Dynamic Technologies Group Inc., Dynamic Attractions Ltd., Dynamic Entertainment Group Ltd., Dynamic Attractions Inc. and Dynamic Structures Ltd.",2023-03-09,FTI CONSULTING CANADA INC.,Deryck Helkaa,416-366-7227,http://cfcanada.fticonsulting.com/dynamicgroup/
"LoyaltyOne, Co.",2023-03-10,KSV RESTRUCTURING INC.,"Goldstein, Noah",416-932-6207,https://www.ksvadvisory.com/experience/case/loyaltyone
"1195407 B.C. Ltd., Canada Drives Ltd., USA Drives Ltd., and Canada Drives Auto Finance Ltd.",2023-03-20,PRICEWATERHOUSECOOPERS INC.,"Bunker, Neil Phillips",604-806-7209,http://www.pwc.com/ca/canada-drives
"FIELD TRIP HEALTH & WELLNESS LTD., FIELD TRIP HEALTH HOLDINGS INC., FIELD TRIP HEALTH CANADA INC., FIELD TRIP DIGITAL CANADA INC. and FIELD TRIP HEALTH USA INC.",2023-03-22,PRICEWATERHOUSECOOPERS INC.,"PRINCE, GREGORY NORMAN",416-814-5752,https://www.pwc.com/ca/fieldtrip
Magna Gold Corp.,2023-03-27,KSV RESTRUCTURING INC.,"GOLDSTEIN, NOAH",416-932-6207,https://www.ksvadvisory.com/experience/case/magnagold
"PHOENA HOLDINGS INC., PHOENA INC., ELMCLIFFE INVESTMENTS INC., ELMCLIFFE INVESTMENTS [NO. 2] INC., and CTI HOLDINGS (OSOYOOS) INC.",2023-04-01,ERNST & YOUNG INC.,"MORRISON, ALEXANDER",416-941-7743,www.ey.com/ca/phoena
"GreenSpace Brands Inc., Love Child (Brands) Inc., Central Roast Inc., and Life Choices Natural Food Corp",2023-04-06,PricewaterhouseCoopers Inc.,Michelle Pickett,416-815-5002,https://www.pwc.com/ca/greenspace
Donmar Properties Ltd. 10058984 Manitoba Ltd.,2023-04-18,ERNST & YOUNG INC.,"VENETSANOS, PETER",604-891-8200,http://www.ey.com/ca/DonmarProperties
"J. W. Carr Holding Ltd., Spruce Grove Industrial Park Inc., 272649 Alberta Ltd., 279896 Alberta Ltd., Grande Prairie Place Enterprises (1996) Inc., 1170292 Alberta Ltd. and 627612 Alberta Ltd.",2023-04-19,ERNST & YOUNG INC.,"MCCULLOCH, MATTHEW VICTOR B.",780-638-6642,http://www.ey.com/ca/jwcarr
"IMV Inc., Immunovaccine Technologies Inc. and IMV USA Inc.",2023-05-01,FTI CONSULTING CANADA INC.,"ROSENBERG, JEFFREY RICHARD",416-649-8073,http://cfcanada.fticonsulting.com/imv
Plant-Based Investment Corp.,2023-05-01,MSI SPERGEL INC,"MANCHANDA, MUKUL  (",416) 498-4314,https://www.spergelcorporate.ca/engagements/plant-based-investment-corp/
Centre de distribution Transrapide Inc.,2023-05-03,DELOITTE RESTRUCTURING INC/RESTRUCTURATION DELOITTE INC,"VINCENT, ÉRIC",418-624-5378,http://www.insolvencies.deloitte.ca/Transrapide
ÉBÉNISTERIE ST-URBAIN LTÉE; ET WOODLORE INTERNATIONAL INC.,2023-05-12,RAYMOND CHABOT INC.,"DESLANDES, DOMINIC",514-393-4725,https://www.raymondchabot.com/fr/entreprises/dossiers-public/woodlore-ebsu/
CAPCIUM INC. ET GELCAN CORPORATION INC,2023-05-17,RAYMOND CHABOT INC.,"DESLANDES, DOMINIC",514-393-4725,https://www.raymondchabot.com/fr/entreprises/dossiers-publics/capcium-inc-et-al/
"Gesco Industries Inc., Gesco GP ULC and Tierra Sol Ceramic Tile Ltd.",2023-05-19,PRICEWATERHOUSECOOPERS INC.,Michelle Pickett,416-815,5002  https://www.pwc.com/ca/gesco
Chalice Brands Ltd.,2023-05-23,KSV RESTRUCTURING INC.,"GOLDSTEIN, NOAH",416-932-6207,https://www.ksvadvisory.com/experience/case/chalice-brands-ltd
"Donnelly Holdings Ltd, Academic Public House Enterprises Ltd., Barber & Co Enterprises Ltd., Belfast Love Enterprises Ltd, Bomber Investments Ltd., Butcher & Bullock Enterprises Ltd., Cinema Public House Ltd., Clough Club Enterprises Ltd., Death & Taxes Enterprises Ltd., Donnelly Hospitality Management Co., Donnelly Public Houses Inc., Granville Room Enterprises Ltd., Hello Goodbye Enterprises Ltd., Hi-Standard Cleaning Co Ltd., Isabelle’s Enterprises Ltd., Lamplighter Enterprises Ltd., Sing Sing Beer Bar Enterprises Ltd., Stock Room Enterprises Ltd., Three Brits Enterprises Ltd., Wairus Enterprises Ltd.",2023-05-23,Ernst & Young Inc.,"Eckford, Jason",604-648-3671,www.ey.com/ca/dph
Fire & Flower Holding Corp,2023-06-05,FTI CONSULTING CANADA INC.,"ROSENBERG, JEFFREY RICHARD",780-540-7518,http://cfcanada.fticonsulting.com/fireandflower.com/
"Swarmio Media Holdings Inc., Swarmio Inc. and Swarmio Media Inc.",2023-06-21,Grant Thornton Limited,Dan Wootton,416-932-6228,www.grantthornton.ca/Swarmio
Independent Energy Corp.,2023-06-22,ERNST & YOUNG INC.,"NARFASON, NEIL",780-540-7518,http://www.ey.com/ca/IEC
"Wallace & Carey Inc., Loudon Bros Limited and Carey Management Inc.",2023-06-22,KSV RESTRUCTURING INC.,"KOFMAN, ROBERT DAVID",416-932-6228,https://www.ksvadvisory.com/experience/case/wallace-and-carey
"PERATIV GENERAL PARTNERSHIP, PERATIV HOLDINGS LIMITED, PERATIV SOLUTIONS INC., PERATIV PARTNERCO LIMITED, SARATOGA ATM ARMORED SERVICES INC.",2023-07-03,PRICEWATERHOUSECOOPERS INC.,"JORDAN, PHILIPPE",514-205-5232,https://www.pwc.com/ca/perativ
"Groupe Airmedic Inc. 12378744 Canada Inc., 9386149 Canada Inc., Capital Aviation Inc., Airmedic Interh Inc., Airmedic Medical Inc., Airmedic Inc.",2023-07-13,DELOITTE RESTRUCTURING INC/RESTRUCTURATION DELOITTE INC,"CLOUÂTRE, BENOÎT",514-393-5391,https://www.insolvencies.deloitte.ca/fr-ca/pages/Groupe-Airmedic-Inc.aspx
JOSEPH RICHARD HOSPITALITY GROUP LTD AND PARTIES LISTED ON SCHEDULE A,2023-07-17,MNP LTD / MNP LTÉE,"MAINELLA, MARIO",604-608-6244,www.mnpdebt.ca/en
Bron Media Corp. and 43 Entities at Schedule A of Initial Order,2023-07-19,Grant Thornton Limited,"Wentzell, Mark Everett",604-687-2711,https://www.grantthornton.ca/en/service/advisory/creditor-updates/#bron-media-group
Big Eric Inc. and Terra Nova Old Port Foods Inc.,2023-07-20,Grant Thornton Limited,Phil Clarke,902-491-7704,www.GrantThornton.ca/BigErics
"ALEAFIA HEALTH INC., EMBLEM CORP., EMBLEM CANNABIS CORPORATION, EMBLEM REALTY LTD., GROWWISE HEALTH LIMITED, CANABO MEDICAL CORPORATION, ALEAFIA INC., ALEAFIA FARMS INC., ALEAFIA BRANDS INC., ALEAFIA RETAIL INC., 2672533 ONTARIO INC., and 2676063 ONTARIO INC.",2023-07-25,KSV Restructuring Inc.,"Goldstein, Noah",416-932-6207,https://www.ksvadvisory.com/insolvency-cases/case/aleafia
"NextPoint Financial, Inc and the entities listed in Schedule A",2023-07-25,FTI CONSULTING CANADA INC.,Thomas Powell,604-484-9525,http://cfcanada.fticonsulting.com/nextpoint
"LIGHTHOUSE IMMERSIVE INC. AND LIGHTHOUSE IMMERSIVE USA, INC.",2023-07-27,B. Riley Farber Inc.,"LEVY, HYLTON BRETT",416-496-3070,https://farbergroup.com/engagements/lighthouse-immersive/
"LABORATOIRES C.O.P. INC., 9327-6269 QUEBEC INC., IDEAL PROTEIN OF AMERICA, INC. AND PHARMALAB INC.",2023-08-15,ERNST & YOUNG INC.,Martin Rosenthal,514-879-6549,https://www.ey.com/ca/idealprotein
"AVENTURA PHASE VII INC., AVENTURA PHASE VIII INC., AVENTURA PHASE IX INC. AND AVENTURA PHASE X INC.",2023-08-24,RAYMOND CHABOT INC.,"GAGNON, JEAN",514-879-1385,https://www.raymondchabot.com/fr/entreprises/dossiers-publics/aventura-phase-vii-inc-et-al/
"Quality Sterling Group, comprising Quality Rugs of Canada Ltd., Timeline Floors Inc., Ontario Flooring Ltd., Weston Hardwood Design Centre Inc., Malvern Contact Interiors Ltd., Timeline Floor Inc. Ontario Flooring Ltd. Weston Hardwood Design Centre Inc. Malvern Contract Interior Limited Quality Commercial Carpet Corporation Joseph Douglas Pacione Holding Ltd. John Anthony Pacione Holding Ltd. Jopac Enterprises Limited, and Patjo Holding Inc.",2023-08-25,RSM Canada Limited,"DHANANI, ARIF NAZARALI",416-480-0160,http://www.rsmcanada.com/quality-sterling-group
"Validus Power Corp., Iroquois Falls Power Corp., Bay Power Corp., KAP Power Corp., Validus Hosting Inc. and Kingston Cogen GP Inc.",2023-08-29,KSV RESTRUCTURING INC.,"KOFMAN, ROBERT DAVID",416-932-6228,https://www.ksvadvisory.com/experience/case/validus-power-corp
BioSteel Sports Nutrition Inc.,2023-09-14,KSV RESTRUCTURING INC.,"GOLDSTEIN, NOAH",416-932-6207,https://www.ksvadvisory.com/experience/case/biosteel
"South Shore Seafoods Ltd., Captain Cooke's Seafood Inc., By The Water Shellfish (2012) Inc., Can-Am Lobster & Shellfish Ltd., South Shore Seafoods International Ltd., Bridge Lobsters Limited., and Arsenault's Fish Mart Inc.",2023-09-21,DELOITTE RESTRUCTURING INC/RESTRUCTURATION DELOITTE INC,"FORAN, JAMES",902-721-5661,https://www.insolvencies.deloitte.ca/SouthShoreSeafoods
"Quebec Parmentier Inc., 9465-0850 Quebec Inc., 9490-0388 Quebec Inc.,9440-5818 Quebec Inc.,9440-5776 Quebec Inc.,9450-8405 Quebec Inc, Propur Inc., Marketing SEQ Inc., Gessam Inc. and Legupro Inc.",2023-10-10,MNP Ltd.,Pierre Marchand,514-906-4645,https://mnpdebt.ca/en/corporate/corporate-engagements/quebec-parmentier-inc
Tacora Resources Inc.,2023-10-10,FTI CONSULTING CANADA INC.,Jodi Porepa,416-649-8059,http://cfcanada.fticonsulting.com/tacora
Stornoway Diamonds (Canada) Inc. et 11272420 Canada Inc.,2023-10-27,DELOITTE RESTRUCTURING INC/RESTRUCTURATION DELOITTE INC,"CLOUÂTRE, BENOÎT",514-393-5391,www.insolvencies.deloitte.ca/stornoway
"Ignite Holdings Inc., Ignite Services Inc., Ignite Insurance Corporation",2023-10-30,KPMG INC.,"BOURIKAS, GEORGE",416-649-8065,https://www.kpmg.com/ca/IgniteGroup
Harbour Grace Ocean Enterprises Ltd. and Laurenceton Holdings Ltd.,2023-11-02,PRICEWATERHOUSECOOPERS INC,"MCTAGGART, MICHAEL",416-687-8924,https://www.pwc.com/ca/harbourgrace
"Simply Green Home Services Inc., Crown Crest Capital Management Corp., Simply Green Home Services Corp., Crown Crest Capital Trust., Crown Crest Financial Corp., Crown Crest Funding Corp.",2023-11-09,KPMG INC.,"PATEL, PRITESH",416-777-8500,https://kpmg.com/ca/crowncrest
"TERGEO MINÉRAUX CRITIQUES INC., ALLIANCE MAGNÉSIUM MÉTALLURGIE INC., ALLIANCE MAGNÉSIUM INC., ALLIANCE MAGNÉSIUM MINES INC.",2023-11-10,RAYMOND CHABOT INC.,"CHAABAN, AYMAN",514-393-4734,https://www.raymondchabot.com/fr/entreprises/dossiers-publics/alliancemagnesiumtergeo/
"Corporation minière Monarch, Moulin aurifère Beacon Inc., La société minière Louvem Inc., 11306448 Canada Inc.",2023-11-14,PricewaterhouseCoopers Inc.,Christian Bourque,514,205-5434  https://www.pwc.com/ca/monarch
Free Rein Resources Ltd.,2023-11-14,FTI Consulting Canada Inc.,"HELKAA, DERYCK",403-454-6035,http://cfcanada.fticonsulting.com/freerein/
Mastermind GP Inc.,2023-11-14,Alvarez & Marsal Canada Inc.,"NEVSKY, JOSHUA BRETT",416-847-5161,https://www.alvarezandmarsal.com/mastermind
"MAV Beauty Brands Inc., Marc Anthony Cosmetics Ltd., Marc Anthony US Holdings, Inc., Marc Anthony Cosmetics USA, Inc., MAC Pure Holdings, Inc., MAV Midco Holdings, LLC, Renpure, LLC, Onesta Hair Care, LLC, and The Mane Choice Hair Solution LLC",2023-11-14,Alvarez & Marsal Canada Inc.,"FERGUSON, STEPHEN",416-847-5162,https://www.alvarezandmarsal.com/MAV
"Wolverine Energy And Infrastructure Inc., Wolverine Equipment Inc., Wolverine Construction Inc., HD Energy Rentals Ltd., In-Line Production Testing Ltd., BHW Employment Services Inc., Flo-Back Equipment Inc., Liberty Energy Services Ltd., and Western Canadian Mulching Ltd.",2023-11-30,Ernst & Young Inc.,Neil Narfason,403-206-5067,https://www.ey.com/ca/WolverineEnergy
"DUVALTEX INC., DUVAL ACQUISITION INC., DUVALTEX (US), INC., DUVALTEX (CANADA) INC., DUVALTEX (AMERICA), INC., LES LAINAGES VICTOR LTÉE ET ARMFOAM INC.",2023-12-14,Ernst & Young Inc.,Eric St-Amour,514-879-8224,https://www.ey.com/ca/duvaltex
"Contract Pharmaceuticals Limited, CPL Canada Holdco Limited, Contract Pharmaceuticals Limited Canada, Glasshouse Pharmaceuticals Limited Canada and Glasshouse Pharmaceuticals LLC",2023-12-15,KSV RESTRUCTURING INC.,"GOLDSTEIN, NOAH",416-932-6207,https://www.ksvadvisory.com/experience/case/cpl
Myra Falls Mine Ltd.,2023-12-18,FTI CONSULTING CANADA INC.,Thomas Powell,605-551-9881,http://cfcanada.fticonsulting.com/myrafalls
15695651 Canada Inc. and 15695724 Canada Inc.,2023-12-20,KPMG Inc.,David Malin,514-461-6672,https://kpmg.com/ca/wholesaleexpress
"Candesto Enterprises Corp., D3 Infrastructure Services Inc., and Safe Roads Alberta Ltd.",2023-12-20,Alvarez & Marsal Canada Inc.,"KONOWALCHUK, OREST M. P.",403-538-4736,www.alvarezandmarsal.com/candesto
"TREES CORPORATION, ONTARIO CANNABIS HOLDINGS CORP., MIRACULO INC., 2707461 ONTARIO LTD., OCH ONTARIO CONSULTING CORP., AND 11819496 CANADA INC.",2023-12-22,FTI Consulting Canada Inc.,Jeffrey Rosenberg,416-649-8073,http://cfcanada.fticonsulting.com/TreesCorporation
Humble & Fume Inc.,2024-01-05,DELOITTE RESTRUCTURING INC/RESTRUCTURATION DELOITTE INC,"AMBACHTSHEER, TODD JEFFREY",416-607-0781,https://www.insolvencies.deloitte.ca/en-ca/pages/Humble-and-Fume.aspx
"Mantle Materials Group, Ltd.",2024-01-10,FTI Consulting Canada Inc.,"HELKAA, DERYCK",403-454-6035,http://cfcanada.fticonsulting.com/mantle
"Nexii Building Solutions Inc., Nexii Construction Inc., NBS IP Inc. and Nexii Holdings Inc.",2024-01-11,KSV RESTRUCTURING INC.,"GOLDSTEIN, NOAH",416-932-6207,https://www.ksvadvisory.com/experience/case/cpl
9869247 Canada Limited (d.b.a. Safari Flower Company) and GN Ventures Ltd.,2024-01-12,ERNST & YOUNG INC.,Karen Fung,416-943-2501,www.ey.com/ca/safari
"Groupe Santé Brunswick inc., et al.",2024-01-12,RAYMOND CHABOT INC.,"CHAABAN, AYMAN",514-393-4734,https://www.raymondchabot.com/fr/entreprises/dossiers-publics/groupe-brunswick/
"Black Press Ltd., 311773 B.C. Ltd., Black Press Group Ltd., 0922015 B.C. Ltd., Central Web Offset Ltd., Sound Publishing Holding, Inc., Sound Publishing Properties, Inc., Sound Publishing, Inc., Oahu Publications, Inc., The Beacon Journal Publishing Company, WWA (BPH) Publications, Inc., and San Francisco Print Media Co.",2024-01-15,KSV RESTRUCTURING INC.,"GOLDSTEIN, NOAH",416-844-4842,https://www.ksvadvisory.com/experience/case/cpl
2039882 Ontario Limited o/a Shelter Cove,2024-01-18,PricewaterhouseCoopers Inc.,Michael McTaggart,416-687-8924,https://www.pwc.com/ca/sheltercove
Fresh City Farms Inc. and Mama Earth Organics Inc.,2024-01-18,PricewaterhouseCoopers Inc.,Michael McTaggart,416-687-8924,https://www.pwc.com/ca/freshcity
